Freq.	V(n002)
1.00000000000000e+03	(1.39793461947625e+01dB,1.79965492248073e+02°)
1.14869835499704e+03	(1.39793456919474e+01dB,1.79960361003655e+02°)
1.31950791077289e+03	(1.39793450284790e+01dB,1.79954466752423e+02°)
1.51571656651040e+03	(1.39793441530273e+01dB,1.79947696036923e+02°)
1.74110112659225e+03	(1.39793429978622e+01dB,1.79939918528978e+02°)
2.00000000000000e+03	(1.39793414736131e+01dB,1.79930984521141e+02°)
2.29739670999407e+03	(1.39793394623552e+01dB,1.79920722045197e+02°)
2.63901582154579e+03	(1.39793368084860e+01dB,1.79908933562271e+02°)
3.03143313302080e+03	(1.39793333066870e+01dB,1.79895392160886e+02°)
3.48220225318450e+03	(1.39793286860399e+01dB,1.79879837189884e+02°)
4.00000000000000e+03	(1.39793225890669e+01dB,1.79861969242248e+02°)
4.59479341998814e+03	(1.39793145440760e+01dB,1.79841444393485e+02°)
5.27803164309158e+03	(1.39793039286696e+01dB,1.79817867583940e+02°)
6.06286626604160e+03	(1.39792899215967e+01dB,1.79790785018088e+02°)
6.96440450636900e+03	(1.39792714392222e+01dB,1.79759675435182e+02°)
8.00000000000001e+03	(1.39792470517033e+01dB,1.79723940084197e+02°)
9.18958683997629e+03	(1.39792148723887e+01dB,1.79682891211651e+02°)
1.05560632861832e+04	(1.39791724118935e+01dB,1.79635738842981e+02°)
1.21257325320832e+04	(1.39791163855693e+01dB,1.79581575606535e+02°)
1.39288090127380e+04	(1.39790424594974e+01dB,1.79519359313340e+02°)
1.60000000000000e+04	(1.39789449153865e+01dB,1.79447892965337e+02°)
1.83791736799526e+04	(1.39788162085130e+01dB,1.79365801819410e+02°)
2.11121265723663e+04	(1.39786463846121e+01dB,1.79271507084102e+02°)
2.42514650641664e+04	(1.39784223107934e+01dB,1.79163195770595e+02°)
2.78576180254760e+04	(1.39781266613077e+01dB,1.79038786159811e+02°)
3.20000000000001e+04	(1.39777365802698e+01dB,1.78895888284865e+02°)
3.67583473599052e+04	(1.39772219188658e+01dB,1.78731758764972e+02°)
4.22242531447327e+04	(1.39765429123917e+01dB,1.78543249267909e+02°)
4.85029301283329e+04	(1.39756471204050e+01dB,1.78326747830575e+02°)
5.57152360509521e+04	(1.39744653984749e+01dB,1.78078112243121e+02°)
6.40000000000002e+04	(1.39729065989443e+01dB,1.77792594720378e+02°)
7.35166947198104e+04	(1.39708506064577e+01dB,1.77464757174023e+02°)
8.44485062894655e+04	(1.39681391967391e+01dB,1.77088376604787e+02°)
9.70058602566657e+04	(1.39645640587077e+01dB,1.76656340523111e+02°)
1.11430472101904e+05	(1.39598511351022e+01dB,1.76160532979102e+02°)
1.28000000000000e+05	(1.39536402114569e+01dB,1.75591712884918e+02°)
1.47033389439621e+05	(1.39454584177466e+01dB,1.74939388055581e+02°)
1.68897012578931e+05	(1.39346860104273e+01dB,1.74191691073459e+02°)
1.94011720513332e+05	(1.39205125013168e+01dB,1.73335267097625e+02°)
2.22860944203808e+05	(1.39018809510737e+01dB,1.72355189606259e+02°)
2.56000000000001e+05	(1.38774181585608e+01dB,1.71234928381475e+02°)
2.94066778879242e+05	(1.38453487458420e+01dB,1.69956405411833e+02°)
3.37794025157862e+05	(1.38033920771566e+01dB,1.68500189118647e+02°)
3.88023441026663e+05	(1.37486430352404e+01dB,1.66845894921787e+02°)
4.45721888407617e+05	(1.36774415575342e+01dB,1.64972878389171e+02°)
5.12000000000002e+05	(1.35852422470797e+01dB,1.62861320517645e+02°)
5.88133557758484e+05	(1.34665048662637e+01dB,1.60493802362382e+02°)
6.75588050315724e+05	(1.33146388191101e+01dB,1.57857431057290e+02°)
7.76046882053327e+05	(1.31220476516346e+01dB,1.54946489091378e+02°)
8.91443776815234e+05	(1.28803277887847e+01dB,1.51765414862131e+02°)
1.02400000000000e+06	(1.25806701407221e+01dB,1.48331689003153e+02°)
1.17626711551697e+06	(1.22144833764631e+01dB,1.44677951693064e+02°)
1.35117610063145e+06	(1.17741985390612e+01dB,1.40852531836819e+02°)
1.55209376410665e+06	(1.12541368039586e+01dB,1.36917688254718e+02°)
