time	V(n002)	V(n003)
0.000000000000000e+00	0.000000e+00	0.000000e+00
9.142856884279487e-09	-1.320287e-05	2.872346e-05
1.828571376855897e-08	-4.359788e-05	5.744617e-05
2.742857065283846e-08	-9.118504e-05	8.616812e-05
3.657142753711795e-08	-1.559643e-04	1.148893e-04
4.571428442139743e-08	-2.379358e-04	1.436098e-04
5.485714130567693e-08	-3.370994e-04	1.723294e-04
6.399999818995639e-08	-4.534551e-04	2.010484e-04
9.669403802959958e-08	-9.746161e-04	3.037266e-04
1.318945567943635e-07	-1.788534e-03	4.142404e-04
1.783117488903806e-07	-3.259254e-03	5.598899e-04
2.386807111220676e-07	-5.829972e-03	7.491351e-04
3.195609406396419e-07	-1.042965e-02	1.002245e-03
4.252139578088222e-07	-1.841768e-02	1.331880e-03
5.657013190900060e-07	-3.247383e-02	1.767862e-03
7.503964406711520e-07	-5.637676e-02	2.335665e-03
9.457089406711520e-07	-8.803643e-02	2.927516e-03
1.141021440671152e-06	-1.263179e-01	3.508348e-03
1.336333940671152e-06	-1.709851e-01	4.075977e-03
1.531646440671152e-06	-2.216493e-01	4.628263e-03
1.726958940671152e-06	-2.778677e-01	5.163130e-03
1.922271440671152e-06	-3.391474e-01	5.678565e-03
2.117583940671153e-06	-4.049478e-01	6.172626e-03
2.312896440671153e-06	-4.746849e-01	6.643455e-03
2.508208940671153e-06	-5.477347e-01	7.089280e-03
2.703521440671153e-06	-6.234376e-01	7.508422e-03
2.898833940671153e-06	-7.011029e-01	7.899304e-03
3.094146440671153e-06	-7.800127e-01	8.260455e-03
3.289458940671153e-06	-8.594275e-01	8.590516e-03
3.484771440671153e-06	-9.385901e-01	8.888244e-03
3.680083940671153e-06	-1.016732e+00	9.152518e-03
3.875396440671153e-06	-1.093076e+00	9.382345e-03
4.070708940671153e-06	-1.166845e+00	9.576858e-03
4.266021440671153e-06	-1.237265e+00	9.735326e-03
4.461333940671152e-06	-1.303568e+00	9.857153e-03
4.656646440671152e-06	-1.365003e+00	9.941879e-03
4.851958940671152e-06	-1.420836e+00	9.989187e-03
5.047271440671151e-06	-1.470358e+00	9.998897e-03
5.242583940671151e-06	-1.512890e+00	9.970974e-03
5.437896440671151e-06	-1.547786e+00	9.905523e-03
5.633208940671150e-06	-1.574439e+00	9.802789e-03
5.828521440671150e-06	-1.592287e+00	9.663160e-03
6.023833940671150e-06	-1.600816e+00	9.487160e-03
6.219146440671149e-06	-1.599562e+00	9.275454e-03
6.414458940671149e-06	-1.588119e+00	9.028836e-03
6.609771440671149e-06	-1.566142e+00	8.748237e-03
6.805083940671148e-06	-1.533347e+00	8.434710e-03
7.000396440671148e-06	-1.489515e+00	8.089438e-03
7.195708940671148e-06	-1.434498e+00	7.713718e-03
7.391021440671147e-06	-1.368216e+00	7.308966e-03
7.586333940671147e-06	-1.290661e+00	6.876705e-03
7.781646440671147e-06	-1.201899e+00	6.418561e-03
7.976958940671147e-06	-1.102068e+00	5.936259e-03
